"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003.15",3344.40675565309,0.380467259316508,0.066448184764113,5.7257735582566,1.02963483962299e-08,2.81631443026629e-08
"ENSG00000000005.6",9.14706263217555,1.80264814217807,0.157631056656304,11.4358691771542,2.76751316359016e-30,3.30732950008013e-29
"ENSG00000000419.13",1095.17453568277,0.193998763328664,0.0302342082360785,6.41653195657909,1.39413696264776e-10,4.48189360754862e-10
"ENSG00000000457.14",595.888117069645,0.010236259707394,0.0304914057846116,0.335709667822532,0.737089814660523,0.769888114798746
"ENSG00000000460.17",239.750995039174,0.323556945459491,0.0690865171515827,4.68335876231212,2.82211932925815e-06,6.22118239310344e-06
"ENSG00000000938.13",486.061790732143,0.754545488356886,0.089494488509313,8.43119504815501,3.42152910488199e-17,1.79743807004064e-16
"ENSG00000000971.16",731.84062606209,1.41567684793872,0.118074744628449,11.9896668198901,4.02520931005614e-33,5.56667048981679e-32
"ENSG00000001036.14",939.952351732931,1.35139815994074,0.0916721243465717,14.7416476881424,3.48184888678844e-49,1.04079173039065e-47
"ENSG00000001084.13",4170.07800903126,-0.652791335907735,0.069457342275042,-9.3984496746617,5.53729144852593e-21,3.77769984498692e-20
"ENSG00000001167.14",1545.24367459615,-0.371483424449687,0.0490375332580198,-7.57549166462065,3.57770082430183e-14,1.52324328307673e-13
"ENSG00000001460.18",352.952140287385,1.57642939117278,0.14197797553336,11.1033375793021,1.20845141557052e-28,1.31231878653039e-27
"ENSG00000001461.17",3681.37326350016,0.803565063875022,0.119951524239063,6.69908172466003,2.09733281343691e-11,7.24146027945123e-11
"ENSG00000001497.18",3299.45203747745,-0.303700040594447,0.0494322694906202,-6.14376082109834,8.05901663563685e-10,2.42892011164914e-09
"ENSG00000001561.7",2175.65251073694,-0.25969883231489,0.0869000797616052,-2.98847634003705,0.00280372207287983,0.00447694565118608
"ENSG00000001617.12",251.232550487064,1.46590853236883,0.122203268331639,11.9956573370084,3.74432689201324e-33,5.18446999155296e-32
"ENSG00000001626.16",201.364850061531,-1.15502054693787,0.107315940741983,-10.7628050311263,5.15759280812859e-27,5.12788471616319e-26
"ENSG00000001629.10",7686.52559293065,0.0363031767419184,0.0572175584953872,0.634476159007118,0.525770120963035,0.571582358618573
"ENSG00000001630.17",213.683821904111,0.173062247145897,0.105536619902221,1.63983124820785,0.101040259046038,0.12815365894585
"ENSG00000001631.16",402.694655349522,0.246339276578186,0.0434110514894423,5.67457520899018,1.39033224809025e-08,3.75813698568325e-08
"ENSG00000002016.18",846.432251188311,-0.479391222615766,0.0635648304047184,-7.54176829488058,4.6364100949332e-14,1.95576211832734e-13
"ENSG00000002079.14",13.6189818410436,-0.593301802624711,0.11289788203322,-5.25520755517925,1.47857627459068e-07,3.65260685847178e-07
"ENSG00000002330.14",754.287661042958,0.096195504482102,0.0673390764099921,1.42852426273889,0.153141016168494,0.187651897954637
"ENSG00000002549.12",5519.69645076048,0.850958607502383,0.0717981960716466,11.8520889668763,2.09892361794083e-32,2.80308257690911e-31
"ENSG00000002586.20",19511.3853449854,0.403972161123843,0.135392474504526,2.98371207559501,0.00284774608711217,0.0045415565767165
"ENSG00000002587.10",1031.08037632582,-0.118459346147791,0.163415696545593,-0.724895763698811,0.468515979968277,0.515491078463059
"ENSG00000002745.13",56.8559146124283,4.19775950105238,0.199519422938873,21.0393526566005,2.86258927501538e-98,5.21559222115301e-96
"ENSG00000002746.15",937.699121687046,-0.481535350926326,0.156070502434438,-3.08537067168481,0.00203298615765443,0.0032999549756963
"ENSG00000002822.15",13.9165421419429,0.731848496916725,0.101769605637175,7.19122858278419,6.42108758044747e-13,2.49155571221129e-12
"ENSG00000002834.18",9338.32481597199,-0.0323400914338383,0.0432860836381452,-0.747124450070115,0.454988442681289,0.502314359411529
"ENSG00000002919.15",1541.74211530429,-0.0558145617366555,0.0315888174574115,-1.76690886931445,0.0772434914182266,0.100015726592681
"ENSG00000002933.9",1395.38081106925,1.68568125215087,0.133525155771564,12.6244469995957,1.54825247626893e-36,2.56815260821574e-35
"ENSG00000003056.8",2569.20462596931,-0.00780640156030925,0.0592583358375291,-0.131735079123929,0.895193838175309,0.910583762815835
"ENSG00000003096.14",1302.07251272703,-0.516040560005047,0.0772924575153669,-6.67646723359069,2.44770759716739e-11,8.40694543808673e-11
"ENSG00000003137.8",565.394071696976,0.439820457580567,0.191591945982641,2.29561036777828,0.021698169438556,0.0306878311853703
"ENSG00000003147.19",629.138558109129,0.184484232758016,0.0914800969335342,2.01665978657691,0.04373102921045,0.0590097712093282
"ENSG00000003249.15",1562.90044340328,1.34039070814129,0.120232191496878,11.1483512980473,7.29454041280581e-29,8.04326437352463e-28
"ENSG00000003393.15",2387.42821609814,0.0117741778436316,0.0398852945611859,0.295200975025255,0.767840357205727,0.797255137058882
"ENSG00000003400.15",319.175912358169,0.424227949198621,0.0766345256412514,5.53572878084423,3.09936868568163e-08,8.13819134361126e-08
"ENSG00000003402.20",2720.66650988853,0.57627620312518,0.043837246569562,13.145812025642,1.79864199087099e-39,3.49927323596825e-38
"ENSG00000003436.16",818.282574237201,0.725448033978558,0.181819766897881,3.98992940292352,6.60929642531342e-05,0.000126864229127024
"ENSG00000003509.16",552.257419201893,0.154065975564942,0.0382670514066926,4.02607386515277,5.67158793445201e-05,0.000109570516040743
"ENSG00000003756.17",5003.58756901543,-0.269261148933155,0.0511033187030905,-5.26895621980164,1.37201679727852e-07,3.40291590483179e-07
"ENSG00000003987.14",635.39984423464,-0.769701025231722,0.112416512349651,-6.84686803694557,7.54842877092898e-12,2.69668968711822e-11
"ENSG00000003989.18",1854.80495598469,0.792085217567932,0.137315224145216,5.76837144241395,8.0041236442019e-09,2.21119935619667e-08
"ENSG00000004059.11",4426.39571011398,0.263028658341995,0.0449772686078822,5.84803538505447,4.97412756700172e-09,1.40266609207294e-08
"ENSG00000004139.14",1001.37179190582,-0.461381001230657,0.0536602880931898,-8.59818345420348,8.09877650420375e-18,4.46288075388876e-17
"ENSG00000004142.12",6526.37195288198,-0.108631127936414,0.029987748754379,-3.62251694270819,0.000291750345182371,0.000522564771346782
"ENSG00000004399.13",4826.85919297402,0.745371896517505,0.0755445264377818,9.86665654898759,5.8067917019801e-23,4.51886498652058e-22
"ENSG00000004455.17",3424.77930192791,0.456109298076773,0.0595336825356172,7.66136544306487,1.83966557785145e-14,8.00325993381385e-14
"ENSG00000004468.13",3951.37116469885,-0.922114549006763,0.131808482371483,-6.99586652100215,2.63624433996211e-12,9.74404464860896e-12
"ENSG00000004478.8",4843.38261554205,-0.213083852877781,0.0475479246632237,-4.48145433027895,7.4136098770672e-06,1.56442910145998e-05
"ENSG00000004487.17",5421.63354318675,-0.216821396952015,0.0636708817790354,-3.40534622568094,0.00066080217359912,0.00113769577765974
"ENSG00000004534.15",6065.95807552042,-0.318297805088957,0.0629247390186112,-5.05838895882928,4.22813338042381e-07,1.00222259178512e-06
"ENSG00000004660.15",2016.29117867339,0.36595601981325,0.169036705983669,2.16495001889475,0.0303915130914295,0.0420553324918593
"ENSG00000004700.16",848.392185548998,0.266486758255246,0.0871061702138569,3.05933273843847,0.00221830619363968,0.00358580870915267
"ENSG00000004766.17",1860.42541884705,0.11589571380965,0.0473666167133407,2.44678049333864,0.0144138593305169,0.0209178183608747
"ENSG00000004776.13",335.473975281864,2.43618977307796,0.156720501153905,15.5448059133345,1.72544547728063e-54,6.56899698539491e-53
"ENSG00000004777.18",3756.93052358582,-0.159903864533861,0.0632646026013648,-2.52754080415913,0.011486447557338,0.0169110739802353
"ENSG00000004779.10",2388.66644059826,-0.034716722248415,0.0486603333061434,-0.713450153125688,0.475567247838963,0.522223156444995
"ENSG00000004799.8",5369.64779976446,-0.535128354388905,0.124860088186651,-4.28582393429799,1.82063141295747e-05,3.69616513506054e-05
"ENSG00000004838.14",318.46749432562,2.92455611798894,0.130205760101004,22.4610348706562,9.98357125555295e-112,3.01569533307538e-109
"ENSG00000004848.8",257.832141325654,1.55496007148129,0.173869660915256,8.94325130270527,3.77885125109295e-19,2.27573683555459e-18
"ENSG00000004864.14",1336.56621383368,0.463973909563221,0.0556452238380027,8.33807248064931,7.55112862251554e-17,3.86685834903166e-16
